topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,r,recombinant,pylorus,mod,chorion,amnion,jpred,helicobacter,rrss,graphene
1,blogs,cell,body,blood,cause,also,effect,immune,system,disease,virus
2,blogs,bacteria,bacterial,gram,negative,positive,wall,stain,bacterium,staining,crystal
3,blogs,gel,buffer,band,sample,run,electrophoresis,sd,agarose,solution,running
4,blogs,etbr,cyp,ferritin,sedimentation,tuna,lithium,clarithromycin,baltic,mag,confocal
5,blogs,blood,pressure,heart,oxygen,flow,vessel,air,volume,increase,muscle
6,blogs,hair,follicle,keratin,grey,white,scalp,disulfide,bond,beard,curl
7,blogs,cell,light,water,molecule,neuron,plant,energy,also,muscle,membrane
8,blogs,textrm,circ,decomposers,mon,t,biorep,dried,detritus,v,sludge
9,blogs,vaccine,aa,strain,r_,vaccination,n_,hpv,hit,immunity,attenuated
10,blogs,bag,p_i,w_i,crisper,minipreps,shipment,capsular,caf,refrigerator,capsule
11,blogs,a_,x_,p_,bar,pepper,ij,b_,mycelium,frequency,quad
12,blogs,spider,name,dinosaur,web,genus,specie,family,taxon,http,venom
13,blogs,energy,atp,reaction,delta,free,mol,weight,kg,hydrolysis,calorie
14,blogs,shiny,moderator,bristle,modencode,bower,election,daf,bowerbird,scrap,pity
15,blogs,go,ensp,influenza,fetus,ha,inversion,menopause,subtype,subtypes,mid
16,blogs,ch,g_i,f_i,methionine,folate,marsupial,thf,placental,optimality,monotreme
17,blogs,lip,ibd,mathbb,upper,theta,y_,transplant,donor,cutaneous,align
18,blogs,microgram,grp,milligram,typo,one,would,protein,sequence,also,time
19,blogs,pbmcs,f_a,f_o,cell,light,would,one,also,potential,ion
20,blogs,gluteus,minimus,medius,vibrio,spill,catl,armadillo,pangolin,catb,horizon
21,blogs,rf,botulinum,hay,rubella,emf,botulism,bale,carcinogenicity,neurotoxin,encephalitis
22,blogs,nbsp,ant,colony,queen,worker,nest,potato,trail,aphid,pheromone
23,blogs,xx,bv,acb,impacting,cm,cell,gene,dna,mutation,effect
24,blogs,semen,abstinence,mesoderm,cent,bdnf,coelom,spermatozoon,fulminant,hippocampal,immobilization
25,blogs,surrogate,smile,circumcision,surrogacy,gestational,ssveps,tmao,traditional,foreskin,fertilization
26,blogs,amp,text,array,begin,longest,kb,bean,purine,rep,hline
27,blogs,hatching,s_f,modulus,s_m,fry,asynchrony,fitness,fittest,homozygote,male
28,blogs,antibiotic,resistance,resistant,penicillin,staphylococcus,aureus,grid,ccr,lactamase,methicillin
29,blogs,tapeworm,proglottids,would,water,saginata,dna,like,body,one,also
30,blogs,no,calmodulin,guanidine,isothiocyanate,pectoralis,enos,mediation,soreness,cell,brain
31,blogs,buoyant,xdna,neutrally,would,protein,cell,like,get,one,process
32,blogs,beep,sec,cell,dna,one,gene,protein,different,nbsp,blood
33,blogs,latin,adjective,noun,singular,suffix,masculine,nominative,genitive,tubercle,declension
34,blogs,oncogene,myc,approved,viral,avian,designation,sox,synonym,neuroblastoma,pgc
35,blogs,nicotine,bead,leech,silica,bleach,cigarette,tar,lengthening,catnip,smoke
36,blogs,http,also,number,used,would,one,human,gene,www,see
37,blogs,hydrophobia,rheobase,population,would,example,human,like,individual,also,time
38,blogs,uniprot,protein,rat,homolog,ontology,actor,fgf,sarcoma,kras,recipient
39,blogs,tip,pipette,ul,ml,rnase,tube,pipetting,volume,bsa,dam
40,blogs,would,specie,one,human,like,question,also,time,could,animal
41,blogs,ror,mycobacteria,asd,mz,alveolus,obstruction,discordant,obstruct,epigenomics,castro
42,blogs,potential,ion,channel,membrane,action,sodium,na,voltage,current,potassium
43,blogs,gluten,laca,glp,dermatol,smilax,topical,bruising,surg,rhizome,pennsylvania
44,blogs,temperature,primer,heat,cold,degree,pcr,hot,tm,annealing,body
45,blogs,colloidal,veggie,guppy,walsh,one,water,mutation,two,paper,like
46,blogs,mathbf,vector,epsilon,hat,rangle,w_a,a_i,accase,c_i,hidden
47,blogs,orf,omega,oil,cyanide,spasm,orthologs,albicans,fish,dha,none
48,blogs,path,garbage,rho_,rotifer,bc,papaya,pineapple,ac,sludge,grease
49,blogs,glc,sirt,tia,paresthesia,represent,aminoacids,panic,present,example,blood
50,blogs,crow,corvus,carrion,hooded,corvids,cornix,austria,tentatively,ornithologist,photographed
51,blogs,wikipedia,index,w_,en,title,encyclopedia,php,m_,accessed,contributor
52,blogs,glove,cattle,effector,latex,aureum,badger,mealworm,epipremnum,sciatic,nitrile
53,blogs,paresthesia,torsion,gastropod,mollusc,sinistral,nickel,alloy,metal,cobalt,chromium
54,blogs,av,affy,hist,egret,comparision,ccl,flybase,one,aa,human
55,blogs,regret,also,system,brain,would,body,dna,one,see,question
56,blogs,silicon,tubulin,retinol,cisplatin,retinoic,silicone,retinoids,dislocation,tuba,alpha
57,blogs,mph,panda,df,dat,litter,el,ln,ache,ringer,racemic
58,blogs,leukopenia,torr,faha,scd,neurologic,cell,also,biology,one,article
59,blogs,tim,markup,ebolavirus,cyc,clk,sbml,zaire,outbreak,fatality,fruitfly
60,blogs,lb,ft,rpm,initi,metre,kg,rotor,weigh,rnapii,centrifugal
61,blogs,glucose,fruit,sugar,mm,insulin,fat,lipid,acid,fructose,glycogen
62,blogs,mhcii,pufas,mhci,xenon,oblong,hyaline,cell,ventilator,conidium,one
63,blogs,ladybug,sinew,spot,cell,gene,answer,question,different,number,specie
64,blogs,retrovirus,ibs,lentiviruses,gag,lentivirus,env,pol,capsid,cell,pathogenesis
65,blogs,milk,cholesterol,fat,lactose,ldl,horn,fatty,phylum,lipoprotein,hdl
66,blogs,gene,rna,would,also,sequence,dna,one,selection,eye,nbsp
67,blogs,gene,dna,protein,one,sequence,would,two,chromosome,mutation,cell
68,blogs,ligand,receptor,price,z_i,n_i,r_i,tot,w_i,saccade,rl
69,blogs,synesthesia,neighbor,br,inclusive,syn,spelled,synaesthesia,grapheme,altruist,nmeth
70,blogs,iso,percentile,gapdh,protein,would,human,one,also,two,light
71,blogs,one,would,like,also,plant,specie,let,acid,may,even
72,blogs,http,data,file,www,sequence,gt,database,org,lt,ncbi
73,blogs,hplc,fplc,cell,trait,like,plant,time,would,animal,many
74,blogs,veg,dialect,coda,vegetarian,dna,one,also,rna,different,question
75,blogs,frac,ce,equation,k_,cdot,constant,left,v_,rate,dt
76,blogs,mutagen,carcinogen,carcinogenic,hd,mutagenic,al_,iarc,carcinogenesis,residue,oncogenic
77,blogs,blood,would,protein,specie,dna,question,foreskin,cell,like,human
78,blogs,photoreception,extraretinal,time,also,one,population,size,would,level,specie
79,blogs,meiosis,egg,secondary,oocyte,sperm,primary,ovum,division,ii,follicle
80,blogs,rh,hydrogen,peroxide,incompatibility,rhesus,mother,miscarriage,tfr,pregnancy,rifampicin
81,blogs,spata,digitalis,arrhythmia,f_a,f_c,f_b,cardioversion,wildebeest,intoxication,sporadic
82,blogs,seed,plant,flower,diploid,hybrid,gamete,pollen,symmetry,parent,produce
83,blogs,protein,system,would,also,cell,people,one,ant,case,like
84,blogs,sperm,dive,diving,helium,ejaculation,va,gas,diver,nitrogen,tremor
